sitename,precision,recall,f1,mcc,tp,tn,fp,fn,best_table_idx
average,0.1467,0.5305,0.2264,0.2462,123.9041,7823.4247,626.5205,83.1507,
陽明,0.1207,0.5195,0.1958,0.2241,80.0,7920.0,583.0,74.0,330
萬里,0.1022,0.4831,0.1686,0.2004,57.0,8038.0,501.0,61.0,423
淡水,0.1393,0.5922,0.2255,0.2458,151.0,7469.0,933.0,104.0,320
基隆,0.1088,0.4634,0.1762,0.2028,57.0,8067.0,467.0,66.0,329
士林,0.1879,0.635,0.29,0.3192,127.0,7908.0,549.0,73.0,429
林口,0.1901,0.6176,0.2907,0.2848,260.0,7128.0,1108.0,161.0,331
三重,0.0191,0.1429,0.0338,0.0441,4.0,8424.0,205.0,24.0,328
中山,0.2157,0.7382,0.3338,0.3376,361.0,6855.0,1313.0,128.0,374
菜寮,0.1854,0.5609,0.2787,0.2743,198.0,7434.0,870.0,155.0,367
大園,0.0969,0.5635,0.1653,0.209,71.0,7869.0,662.0,55.0,287
汐止,0.1483,0.4804,0.2266,0.2364,98.0,7890.0,563.0,106.0,379
大同,0.2064,0.5733,0.3035,0.2953,219.0,7433.0,842.0,163.0,423
松山,0.2945,0.6489,0.4051,0.3968,268.0,7602.0,642.0,145.0,323
萬華,0.1752,0.6093,0.2722,0.3063,92.0,8073.0,433.0,59.0,330
觀音,0.0349,0.1,0.0517,0.0536,3.0,8544.0,83.0,27.0,375
新莊,0.102,0.2941,0.1515,0.1651,15.0,8474.0,132.0,36.0,420
古亭,0.0932,0.3465,0.1469,0.1569,44.0,8102.0,428.0,83.0,325
永和,0.1111,0.4034,0.1742,0.1916,48.0,8154.0,384.0,71.0,346
板橋,0.1464,0.6034,0.2357,0.2705,105.0,7871.0,612.0,69.0,331
桃園,0.2361,0.6415,0.3451,0.3415,263.0,7396.0,851.0,147.0,333
土城,0.0758,0.4167,0.1282,0.1626,30.0,8219.0,366.0,42.0,323
新店,0.1591,0.6143,0.2527,0.2569,223.0,7115.0,1179.0,140.0,369
