sitename,precision,recall,f1,mcc,tp,tn,fp,fn,best_table_idx
average,0.1600,0.5307,0.2420,0.2597,121.4932,7883.4384,566.5068,85.5616,
陽明,0.1542,0.4935,0.2349,0.2535,76.0,8086.0,417.0,78.0,457
萬里,0.126,0.4153,0.1933,0.2101,49.0,8199.0,340.0,69.0,464
淡水,0.1393,0.6196,0.2275,0.2523,158.0,7426.0,976.0,97.0,447
基隆,0.1579,0.3902,0.2248,0.2316,48.0,8278.0,256.0,75.0,454
士林,0.1941,0.625,0.2962,0.3227,125.0,7938.0,519.0,75.0,436
林口,0.1947,0.6318,0.2977,0.294,266.0,7136.0,1100.0,155.0,399
三重,0.0165,0.2143,0.0307,0.049,6.0,8272.0,357.0,22.0,454
中山,0.2413,0.7096,0.3601,0.3573,347.0,7077.0,1091.0,142.0,462
菜寮,0.2297,0.5042,0.3156,0.2995,178.0,7707.0,597.0,175.0,469
大園,0.1002,0.4841,0.166,0.1966,61.0,7983.0,548.0,65.0,460
汐止,0.1281,0.5343,0.2066,0.2275,109.0,7711.0,742.0,95.0,294
大同,0.2165,0.6047,0.3188,0.3147,231.0,7439.0,836.0,151.0,457
松山,0.2913,0.7046,0.4122,0.4128,291.0,7536.0,708.0,122.0,404
萬華,0.2265,0.5894,0.3272,0.3482,89.0,8202.0,304.0,62.0,446
觀音,0.0296,0.1333,0.0485,0.056,4.0,8496.0,131.0,26.0,466
新莊,0.129,0.3137,0.1829,0.194,16.0,8498.0,108.0,35.0,472
古亭,0.0973,0.3622,0.1533,0.1651,46.0,8103.0,427.0,81.0,402
永和,0.1617,0.3613,0.2234,0.2262,43.0,8315.0,223.0,76.0,464
板橋,0.1622,0.5862,0.254,0.2833,102.0,7956.0,527.0,72.0,471
桃園,0.228,0.6585,0.3388,0.3386,270.0,7333.0,914.0,140.0,472
土城,0.0751,0.4444,0.1285,0.1673,32.0,8191.0,394.0,40.0,446
新店,0.1478,0.6253,0.2391,0.2453,227.0,6985.0,1309.0,136.0,446
平鎮,0.0245,0.2258,0.0442,0.0647,7.0,8347.0,279.0,24.0,310
中壢,0.1679,0.5171,0.2535,0.2574,136.0,7720.0,674.0,127.0,441
湖口,0.1614,0.6364,0.2575,0.2797,175.0,7473.0,909.0,100.0,299
龍潭,0.2985,0.6796,0.4148,0.416,246.0,7717.0,578.0,116.0,443
新竹,0.1942,0.5194,0.2827,0.2845,134.0,7843.0,556.0,124.0,441
竹東,0.1709,0.5191,0.2571,0.2727,95.0,8013.0,461.0,88.0,442
宜蘭,0.1511,0.6202,0.2429,0.2744,129.0,7724.0,725.0,79.0,463
頭份,0.2432,0.622,0.3497,0.3357,288.0,7298.0,896.0,175.0,475
冬山,0.1441,0.6682,0.2371,0.2751,149.0,7549.0,885.0,74.0,462
苗栗,0.1224,0.4649,0.1938,0.2199,53.0,8163.0,380.0,61.0,447
三義,0.2793,0.6357,0.3881,0.3796,260.0,7577.0,671.0,149.0,362
豐原,0.1179,0.3587,0.1774,0.1912,33.0,8318.0,247.0,59.0,395
沙鹿,0.2054,0.6243,0.3091,0.3096,236.0,7366.0,913.0,142.0,448
西屯,0.2348,0.6212,0.3408,0.3485,182.0,7771.0,593.0,111.0,467
忠明,0.1146,0.4951,0.1861,0.2205,51.0,8160.0,394.0,52.0,471
線西,0.1678,0.5426,0.2563,0.2888,51.0,8310.0,253.0,43.0,343
