sitename,precision,recall,f1,mcc,tp,tn,fp,fn,best_table_idx
average,0.1560,0.5432,0.2387,0.2594,123.7397,7869.7260,580.2192,83.3151,
陽明,0.1203,0.6494,0.203,0.2528,100.0,7772.0,731.0,54.0,268
萬里,0.1215,0.4068,0.1871,0.2034,48.0,8192.0,347.0,70.0,267
淡水,0.161,0.5961,0.2535,0.2722,152.0,7610.0,792.0,103.0,279
基隆,0.1272,0.4715,0.2003,0.2251,58.0,8136.0,398.0,65.0,235
士林,0.1737,0.66,0.275,0.311,132.0,7829.0,628.0,68.0,239
林口,0.2205,0.5914,0.3213,0.3095,249.0,7356.0,880.0,172.0,265
三重,0.0242,0.2143,0.0435,0.0634,6.0,8387.0,242.0,22.0,226
中山,0.2521,0.6851,0.3685,0.3608,335.0,7174.0,994.0,154.0,228
菜寮,0.2169,0.6459,0.3248,0.3311,228.0,7481.0,823.0,125.0,267
大園,0.102,0.4921,0.1689,0.2006,62.0,7985.0,546.0,64.0,237
汐止,0.136,0.5245,0.2159,0.2343,107.0,7773.0,680.0,97.0,242
大同,0.2077,0.6073,0.3095,0.3066,232.0,7390.0,885.0,150.0,275
松山,0.2894,0.632,0.397,0.3867,261.0,7603.0,641.0,152.0,227
萬華,0.1957,0.6026,0.2955,0.3244,91.0,8132.0,374.0,60.0,269
觀音,0.0404,0.3,0.0711,0.1021,9.0,8413.0,214.0,21.0,238
新莊,0.0876,0.4314,0.1457,0.1846,22.0,8377.0,229.0,29.0,268
古亭,0.115,0.3622,0.1746,0.1837,46.0,8176.0,354.0,81.0,238
永和,0.1169,0.395,0.1804,0.1955,47.0,8183.0,355.0,72.0,229
板橋,0.1499,0.6322,0.2423,0.2814,110.0,7859.0,624.0,64.0,269
桃園,0.227,0.6683,0.3389,0.3404,274.0,7314.0,933.0,136.0,269
土城,0.0825,0.4444,0.1391,0.1769,32.0,8229.0,356.0,40.0,238
新店,0.1642,0.5785,0.2558,0.254,210.0,7225.0,1069.0,153.0,228
平鎮,0.0314,0.1935,0.0541,0.07,6.0,8441.0,185.0,25.0,232
中壢,0.1849,0.4753,0.2662,0.262,125.0,7843.0,551.0,138.0,228
湖口,0.1705,0.56,0.2615,0.27,154.0,7633.0,749.0,121.0,226
龍潭,0.2704,0.7431,0.3965,0.4114,269.0,7569.0,726.0,93.0,228
新竹,0.2027,0.5233,0.2922,0.2935,135.0,7868.0,531.0,123.0,233
竹東,0.149,0.5683,0.2361,0.2632,104.0,7880.0,594.0,79.0,238
宜蘭,0.1533,0.5865,0.243,0.2686,122.0,7775.0,674.0,86.0,269
頭份,0.255,0.6933,0.3728,0.3694,321.0,7256.0,938.0,142.0,238
冬山,0.1447,0.7175,0.2408,0.2873,160.0,7488.0,946.0,63.0,237
苗栗,0.0784,0.5175,0.1361,0.1765,59.0,7849.0,694.0,55.0,276
三義,0.2807,0.6259,0.3876,0.3776,256.0,7592.0,656.0,153.0,278
豐原,0.1217,0.3478,0.1803,0.1917,32.0,8334.0,231.0,60.0,236
沙鹿,0.1828,0.7063,0.2904,0.3067,267.0,7085.0,1194.0,111.0,240
西屯,0.252,0.5495,0.3455,0.3405,161.0,7886.0,478.0,132.0,227
忠明,0.0965,0.5146,0.1626,0.2031,53.0,8058.0,496.0,50.0,239
線西,0.1787,0.5532,0.2701,0.302,52.0,8324.0,239.0,42.0,274
大里,0.1566,0.5853,0.2471,0.264,151.0,7586.0,813.0,107.0,275
彰化,0.103,0.5221,0.172,0.2109,59.0,8030.0,514.0,54.0,227
花蓮,0.158,0.4754,0.2372,0.2569,58.0,8226.0,309.0,64.0,243
埔里,0.2457,0.5972,0.3482,0.3755,43.0,8453.0,132.0,29.0,265
二林,0.2334,0.593,0.335,0.3322,204.0,7643.0,670.0,140.0,226
南投,0.151,0.6063,0.2418,0.2837,77.0,8097.0,433.0,50.0,269
麥寮,0.2454,0.7386,0.3684,0.363,404.0,6868.0,1242.0,143.0,229
竹山,0.2738,0.7245,0.3975,0.376,468.0,6770.0,1241.0,178.0,269
崙背,0.1217,0.3846,0.1849,0.1937,55.0,8117.0,397.0,88.0,236
臺西,0.1163,0.4516,0.185,0.2137,42.0,8245.0,319.0,51.0,266
斗六,0.1475,0.6102,0.2376,0.2823,72.0,8123.0,416.0,46.0,227
新港,0.0843,0.3056,0.1321,0.1475,22.0,8346.0,239.0,50.0,225
嘉義,0.1443,0.6102,0.2334,0.2787,72.0,8112.0,427.0,46.0,270
朴子,0.17,0.4008,0.2387,0.2268,103.0,7897.0,503.0,154.0,227
新營,0.2664,0.5251,0.3535,0.3344,199.0,7730.0,548.0,180.0,235
善化,0.049,0.3962,0.0871,0.1254,21.0,8196.0,408.0,32.0,237
關山,0.1624,0.728,0.2655,0.3074,182.0,7468.0,939.0,68.0,232
安南,0.1411,0.5091,0.2209,0.2512,56.0,8206.0,341.0,54.0,229
臺南,0.1878,0.5895,0.2848,0.2808,224.0,7308.0,969.0,156.0,275
美濃,0.1063,0.4958,0.1751,0.2081,59.0,8042.0,496.0,60.0,237
臺東,0.1841,0.6549,0.2874,0.3129,167.0,7662.0,740.0,88.0,277
橋頭,0.048,0.3509,0.0844,0.1151,20.0,8203.0,397.0,37.0,225
楠梓,0.0976,0.4952,0.163,0.1999,52.0,8071.0,481.0,53.0,237
仁武,0.2123,0.6716,0.3226,0.3618,90.0,8189.0,334.0,44.0,274
屏東,0.1429,0.4563,0.2176,0.2401,47.0,8272.0,282.0,56.0,237
左營,0.1329,0.3725,0.1959,0.215,19.0,8482.0,124.0,32.0,276
前金,0.1692,0.6348,0.2671,0.3028,113.0,7924.0,555.0,65.0,243
鳳山,0.1513,0.6842,0.2478,0.29,143.0,7646.0,802.0,66.0,242
前鎮,0.0889,0.5833,0.1542,0.2055,63.0,7903.0,646.0,45.0,267
復興,0.0905,0.6667,0.1594,0.2191,86.0,7664.0,864.0,43.0,227
小港,0.1017,0.4932,0.1686,0.2106,36.0,8266.0,318.0,37.0,236
大寮,0.093,0.4868,0.1561,0.1981,37.0,8220.0,361.0,39.0,233
潮州,0.2313,0.661,0.3427,0.3349,310.0,7158.0,1030.0,159.0,240
林園,0.1655,0.6276,0.262,0.2944,123.0,7841.0,620.0,73.0,268
恆春,0.1283,0.4964,0.2038,0.2298,69.0,8049.0,469.0,70.0,229
